"","year","GEOID","NAME","variable","estimate"
"1","2018","06017","El Dorado County, California","black_alone",1221
"2","2021","06017","El Dorado County, California","black_alone",1509
"3","2018","06061","Placer County, California","black_alone",6738
"4","2021","06061","Placer County, California","black_alone",5842
"5","2018","06067","Sacramento County, California","black_alone",152261
"6","2021","06067","Sacramento County, California","black_alone",157690
"7","2018","06101","Sutter County, California","black_alone",2001
"8","2021","06101","Sutter County, California","black_alone",1528
"9","2018","06113","Yolo County, California","black_alone",6684
"10","2021","06113","Yolo County, California","black_alone",6048
"11","2018","06115","Yuba County, California","black_alone",2132
"12","2021","06115","Yuba County, California","black_alone",3398
"13","2018","06017","El Dorado County, California","na_alone",924
"14","2021","06017","El Dorado County, California","na_alone",1620
"15","2018","06061","Placer County, California","na_alone",2028
"16","2021","06061","Placer County, California","na_alone",1805
"17","2018","06067","Sacramento County, California","na_alone",11548
"18","2021","06067","Sacramento County, California","na_alone",15943
"19","2018","06101","Sutter County, California","na_alone",888
"20","2021","06101","Sutter County, California","na_alone",2401
"21","2018","06113","Yolo County, California","na_alone",925
"22","2021","06113","Yolo County, California","na_alone",2184
"23","2018","06115","Yuba County, California","na_alone",1513
"24","2021","06115","Yuba County, California","na_alone",2560
"25","2018","06017","El Dorado County, California","nhpi_alone",525
"26","2021","06017","El Dorado County, California","nhpi_alone",36
"27","2018","06061","Placer County, California","nhpi_alone",667
"28","2021","06061","Placer County, California","nhpi_alone",277
"29","2018","06067","Sacramento County, California","nhpi_alone",18375
"30","2021","06067","Sacramento County, California","nhpi_alone",18052
"31","2018","06101","Sutter County, California","nhpi_alone",1399
"32","2021","06101","Sutter County, California","nhpi_alone",1253
"33","2018","06113","Yolo County, California","nhpi_alone",1102
"34","2021","06113","Yolo County, California","nhpi_alone",568
"35","2018","06115","Yuba County, California","nhpi_alone",1025
"36","2021","06115","Yuba County, California","nhpi_alone",303
"37","2018","06017","El Dorado County, California","other_alone",2255
"38","2021","06017","El Dorado County, California","other_alone",8979
"39","2018","06061","Placer County, California","other_alone",11993
"40","2021","06061","Placer County, California","other_alone",23104
"41","2018","06067","Sacramento County, California","other_alone",120060
"42","2021","06067","Sacramento County, California","other_alone",184039
"43","2018","06101","Sutter County, California","other_alone",5094
"44","2021","06101","Sutter County, California","other_alone",17150
"45","2018","06113","Yolo County, California","other_alone",6636
"46","2021","06113","Yolo County, California","other_alone",26229
"47","2018","06115","Yuba County, California","other_alone",2385
"48","2021","06115","Yuba County, California","other_alone",11013
"49","2018","06017","El Dorado County, California","two_or_more",7769
"50","2021","06017","El Dorado County, California","two_or_more",22624
"51","2018","06061","Placer County, California","two_or_more",18110
"52","2021","06061","Placer County, California","two_or_more",56181
"53","2018","06067","Sacramento County, California","two_or_more",116275
"54","2021","06067","Sacramento County, California","two_or_more",230117
"55","2018","06101","Sutter County, California","two_or_more",6977
"56","2021","06101","Sutter County, California","two_or_more",18609
"57","2018","06113","Yolo County, California","two_or_more",15446
"58","2021","06113","Yolo County, California","two_or_more",39984
"59","2018","06115","Yuba County, California","two_or_more",5261
"60","2021","06115","Yuba County, California","two_or_more",16663
"61","2018","06017","El Dorado County, California","white_alone",169150
"62","2021","06017","El Dorado County, California","white_alone",147391
"63","2018","06061","Placer County, California","white_alone",322796
"64","2021","06061","Placer County, California","white_alone",290804
"65","2018","06067","Sacramento County, California","white_alone",874105
"66","2021","06067","Sacramento County, California","white_alone",710255
"67","2018","06101","Sutter County, California","white_alone",66617
"68","2021","06101","Sutter County, California","white_alone",42278
"69","2018","06113","Yolo County, California","white_alone",158000
"70","2021","06113","Yolo County, California","white_alone",108891
"71","2018","06115","Yuba County, California","white_alone",60004
"72","2021","06115","Yuba County, California","white_alone",42651
