"","y1_statefips","y1_countyfips","y2_statefips","y2_countyfips","y2_state","y2_countyname","n1","n2","agi","state1fullfips","state2fullfips"
"1","06","001","06","001","CA","Alameda County Non-migrants",620850,1222860,83859237,"06001","06001"
"2","06","001","06","013","CA","Contra Costa County",9427,17684,1285836,"06001","06013"
"3","06","001","06","085","CA","Santa Clara County",5616,9101,893807,"06001","06085"
"4","06","001","06","075","CA","San Francisco County",4276,5369,476734,"06001","06075"
"5","06","001","06","077","CA","San Joaquin County",4198,9545,404133,"06001","06077"
"6","06","001","06","037","CA","Los Angeles County",2556,3413,249234,"06001","06037"
"7","06","001","06","081","CA","San Mateo County",2261,3515,306376,"06001","06081"
"8","06","001","06","067","CA","Sacramento County",2223,4022,185217,"06001","06067"
"9","06","001","06","095","CA","Solano County",1379,2375,106177,"06001","06095"
"10","06","001","06","073","CA","San Diego County",1223,1869,161230,"06001","06073"
"11","06","001","06","099","CA","Stanislaus County",1135,2406,75963,"06001","06099"
"12","06","001","53","033","WA","King County",929,1486,172315,"06001","53033"
"13","06","001","32","003","NV","Clark County",851,1403,106339,"06001","32003"
"14","06","001","06","059","CA","Orange County",847,1419,115783,"06001","06059"
"15","06","001","06","061","CA","Placer County",778,1640,116694,"06001","06061"
"16","06","001","06","097","CA","Sonoma County",665,1009,84925,"06001","06097"
"17","06","001","04","013","AZ","Maricopa County",606,1138,87186,"06001","04013"
"18","06","001","06","041","CA","Marin County",570,843,91537,"06001","06041"
"19","06","001","48","453","TX","Travis County",513,934,170904,"06001","48453"
"20","06","001","41","051","OR","Multnomah County",506,750,66325,"06001","41051"
"21","06","001","06","065","CA","Riverside County",455,740,50609,"06001","06065"
"22","06","001","06","019","CA","Fresno County",378,655,25540,"06001","06019"
"23","06","001","36","047","NY","Kings County",377,459,45176,"06001","36047"
"24","06","001","17","031","IL","Cook County",366,563,47888,"06001","17031"
"25","06","001","36","061","NY","New York County",361,432,48956,"06001","36061"
"26","06","001","32","031","NV","Washoe County",352,599,67024,"06001","32031"
"27","06","001","06","087","CA","Santa Cruz County",351,521,43389,"06001","06087"
"28","06","001","06","017","CA","El Dorado County",347,715,62560,"06001","06017"
"29","06","001","48","085","TX","Collin County",325,834,60538,"06001","48085"
"30","06","001","48","201","TX","Harris County",316,536,32717,"06001","48201"
"31","06","001","06","113","CA","Yolo County",299,468,25205,"06001","06113"
"32","06","001","06","071","CA","San Bernardino County",292,474,24856,"06001","06071"
"33","06","001","48","491","TX","Williamson County",278,687,59115,"06001","48491"
"34","06","001","06","057","CA","Nevada County",270,445,48093,"06001","06057"
"35","06","001","48","113","TX","Dallas County",270,506,46504,"06001","48113"
"36","06","001","06","047","CA","Merced County",240,488,14355,"06001","06047"
"37","06","001","25","017","MA","Middlesex County",237,379,36830,"06001","25017"
"38","06","001","16","001","ID","Ada County",228,486,32534,"06001","16001"
"39","06","001","06","053","CA","Monterey County",214,347,33098,"06001","06053"
"40","06","001","06","055","CA","Napa County",198,318,28017,"06001","06055"
"41","06","001","08","031","CO","Denver County",193,284,59880,"06001","08031"
